host_neighbourhood,city,,
 Interbay, Seattle,,
 Interbay, Seattle,,
 Interbay, Seattle,,
 Sunset Hill, Seattle,,
 Ballard, Seattle,,
 Seaview, Seattle,,
 Ballard, Seattle,,
 Seaview, Seattle,,
 Phinney Ridge, Seattle,,
 Phinney Ridge, Seattle,,
 Phinney Ridge, Seattle,,
 Westlake, Seattle,,
 Westlake, Seattle,,
 Lower Queen Anne, Seattle,,
 Westlake, Seattle,,
 Westlake, Seattle,,
 Lower Queen Anne, Seattle,,
 Queen Anne, Seattle,,
 Meridian, Seattle,,
 Wallingford, Seattle,,
 Wallingford, Seattle,,
 Wallingford, Seattle,,
 Wallingford, Seattle,,
 Fremont, Seattle,,
 Wallingford, Seattle,,
 Meridian, Seattle,,
 Wallingford, Seattle,,
 Wallingford, Seattle,,
 Fremont, Seattle,,
 Fremont, Seattle,,
 Queen Anne, Seattle,,
 Interbay, Seattle,,
 Interbay, Seattle,,
 Green Lake, Seattle,,
 Green Lake, Seattle,,
 Meridian, Seattle,,
 Green Lake, Seattle,,
 Green Lake, Seattle,,
 Westlake, Seattle,,
 Westlake Avenue North, Seattle,,
 Westlake Avenue North, Seattle,,
 Madison Valley, Seattle,,
 Madison Valley, Seattle,,
 Madison Valley, Seattle,,
 Madrona, Seattle,,
 Madrona, Seattle,,
 Madrona, Seattle,,
 University District, Seattle,,
 University District, Seattle,,
 University District, Seattle,,
 University District, Seattle,,
 University District, Seattle,,
 University District, Seattle,,
 University District, Seattle,,
 Central District, Seattle,,
 Central District, Seattle,,
 First Hill, Seattle,,
 Central District, Seattle,,
 Yesler Terrace, Seattle,,
 Central District, Seattle,,
 First Hill, Seattle,,
 Leschi, Seattle,,
 Leschi, Seattle,,
 Leschi, Seattle,,
 Leschi, Seattle,,
 Central District, Seattle,,
 Little Saigon, Seattle,,
 Capitol Hill, Seattle,,
 Belltown, Seattle,,
 Eastlake, Seattle,,
 Belltown, Seattle,,
 Capitol Hill, Seattle,,
 Belltown, Seattle,,
 Lawton Park, Seattle,,
 Lawton Park, Seattle,,
 Magnolia, Seattle,,
 Belltown, Seattle,,
 Belltown, Seattle,,
 Belltown, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Belltown, Seattle,,
 Belltown, Seattle,,
 Belltown, Seattle,,
 Belltown, Seattle,,
 Belltown, Seattle,,
 International District/Chinatown, Seattle,,
 Belltown, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 First Hill, Seattle,,
 Yesler Terrace, Seattle,,
 Yesler Terrace, Seattle,,
 Yesler Terrace, Seattle,,
 Yesler Terrace, Seattle,,
 Arroyo Heights, Seattle,,
 Arbor Heights, Seattle,,
 Alki, Seattle,,
 Alki, Seattle,,
 Alki, Seattle,,
 West Seattle, Seattle,,
 Alki, Seattle,,
 Alki, Seattle,,
 West Seattle, Seattle,,
 West Seattle, Seattle,,
 Youngstown, Seattle,,
 West Seattle, Seattle,,
 High Point, Seattle,,
 West Seattle, Seattle,,
 West Seattle, Seattle,,
 Magnolia Village, Seattle,,
 South Seattle, Seattle,,
 Holly Park, Seattle,,
 Holly Park, Seattle,,
 Holly Park, Seattle,,
 Holly Park, Seattle,,
 Holly Park, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Greenwood, Seattle,,
 Holly Park, Seattle,,
 Beacon Hill, Seattle,,
 Beacon Hill, Seattle,,
 Beacon Hill, Seattle,,
 Beacon Hill, Seattle,,
 Little Saigon, Seattle,,
 Beacon Hill, Seattle,,
 Beacon Hill, Seattle,,
 Brighton, Seattle,,
 Dunlap, Seattle,,
 White Center, King County,,
 Highland Park, Seattle,,
 White Center, King County,,
 Dunlap, Seattle,,
 Rainier Vista, Seattle,,
 Lakewood, Seattle,,
 Rainier Valley, Seattle,,
 Rainier Valley, Seattle,,
 Mount Baker, Seattle,,
 Mount Baker, Seattle,,
 Mount Baker, Seattle,,
 Leschi, Seattle,,
 Delridge, Seattle,,
 Youngstown, Seattle,,
 Delridge, Seattle,,
 Wedgwood, Seattle,,
 Wedgwood, Seattle,,
 Delridge, Seattle,,
 Portage Bay, Seattle,,
 Hawthorne Hills, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 First Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 First Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 First Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 First Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 Capitol Hill, Seattle,,
 First Hill, Seattle,,
 Loyal Heights, Seattle,,
 Ballard, Seattle,,
 Olympic Manor, Seattle,,
 Whittier Heights, Seattle,,
 Victory Heights, Seattle,,
 Inverness, Seattle,,
 Whittier Heights, Seattle,,
 Lake City, Seattle,,
 Lake City, Seattle,,
 Kenwood, Seattle,,
 Lake City, Seattle,,
 Maple Leaf, Seattle,,
 Green Lake, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Lower Queen Anne, Seattle,,
 Wedgwood, Seattle,,
 North Beach, Seattle,,
 Sunset Hill, Seattle,,
 Seaview, Seattle,,
